ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,N_VICTIMAS,FECHA_SINIESTRO,HORA_SINIESTRO,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ID,Year,Rango_Edad
Peaton,Peaton,Femenino,76,2016-06-29 00:00:00,1,2016-06-28,20:46:00,20,Av Juan B Alberdi Y Puan,Avenida,6,-58.44788671,-34.62539009,Peaton-Moto,Moto,57,2016,61-90
Peaton,Peaton,Masculino,57,2016-07-08 00:00:00,1,2016-06-29,22:00:00,22,Carlos Pellegrini Y Tucuman,Calle,1,-58.38110563,-34.60135531,Peaton-Pasajeros,Pasajeros,58,2016,41-60
Sd,Moto,Masculino,42,2016-06-29,1,2016-06-29,22:00:00,22,Avda Ite Francisco Rabanal & Avda Erezcano,Avenida,4,-58.42378834,-34.65734100,Moto-Movil,Otro,59,2016,41-60
Peaton,Peaton,Masculino,75,2016-07-01 00:00:00,1,2016-06-30,16:10:00,16,Av Olivera Y Ramon Falcon,Avenida,10,-58.48727942,-34.63652467,Peaton-Pasajeros,Pasajeros,60,2016,61-90
Conductor,Moto,Masculino,23,2016-07-03 00:00:00,1,2016-07-02,00:10:00,0,Autopista 1 Sur Pte Arturo Frondizi Y Av Caseros,Autopista,1,-58.37864583,-34.62907067,Moto-Objeto Fijo,Objeto Fijo,61,2016,21-40
Peaton,Peaton,Femenino,70,2016-07-14 00:00:00,1,2016-07-11,15:30:00,15,Ceretti Y Nuñez,Calle,12,-58.50151750,-34.56767549,Peaton-Auto,Auto,62,2016,61-90
Peaton,Peaton,Masculino,35,2016-07-14 00:00:00,1,2016-07-14,06:40:00,6,Av Lugones Y La Pampa,Autopista,13,-58.43233425,-34.55185825,Peaton-Auto,Auto,63,2016,21-40
Peaton,Peaton,Masculino,60,2016-07-15 00:00:00,1,2016-07-14,22:00:00,22,Jeronimo Salguero Y Av Rivadavia,Avenida,5,-58.41971993,-34.61112240,Peaton-Pasajeros,Pasajeros,64,2016,61-90
Conductor,Moto,Masculino,24,2016-07-15 00:00:00,1,2016-07-15,11:00:00,11,Av Gral Paz Y Av Libertador ,Gral Paz,13,-58.46743471,-34.53476874,Moto-Cargas,Cargas,65,2016,21-40
Conductor,Auto,Masculino,35,2016-07-19 00:00:00,1,2016-07-17,03:30:00,3,Av Juan B Alberdi Y Emilio Mitre,Avenida,6,-58.44362126,-34.62301748,Auto-Auto,Auto,66,2016,21-40
Conductor,Moto,Masculino,29,2016-07-23 00:00:00,1,2016-07-23,06:12:00,6,Mercedes Y Av Gral Mosconi,Avenida,11,-58.51713095,-34.59546519,Moto-Auto,Auto,67,2016,21-40
Conductor,Moto,Masculino,42,2016-07-25,1,2016-07-25,07:00:00,7,Autopista Dellepiane Luis Tte. Gral. Km. 23,Autopista,8,-58.47433193007387,-34.66684950051973,Moto-Cargas,Cargas,68,2016,41-60
Peaton,Peaton,Masculino,80,2016-08-12 00:00:00,1,2016-07-26,18:45:00,18,Solis Y Mexico,Calle,1,-58.39038605,-34.61562810,Peaton-Auto,Auto,69,2016,61-90
Conductor,Moto,Femenino,43,2016-07-27,1,2016-07-27,16:08:00,16,Av San Juan Y Alberti,Avenida,3,-58.40042405,-34.62356174,Moto-Cargas,Cargas,70,2016,41-60
Conductor,Cargas,Masculino,45,2016-07-29,1,2016-07-29,16:00:00,16,Av Gral Mosconi Y Av Gral Paz,Gral Paz,11,-58.52340614,-34.59798754,Cargas-Cargas,Cargas,71,2016,41-60
Conductor,Moto,Masculino,57,2016-08-03 00:00:00,1,2016-08-03,23:27:00,23,Av Gral Paz  Y Donado,Gral Paz,12,-58.49491054,-34.54795581,Moto-Objeto Fijo,Objeto Fijo,72,2016,41-60
